1,君の名は。 Another Side:Earthbound (角川スニーカー文庫)
2,小説 君の名は。 (角川文庫)
3,別冊カドカワ 総力特集 乃木坂46 vol.03 (カドカワムック)
4,ロウソクの科学 (角川文庫)
5,艦隊これくしょん -艦これ- 艦娘型録 弐
6,最後の秘境 東京藝大:天才たちのカオスな日常
7,グランブルーファンタジー・クロニクル vol.10
8,西野七瀬写真集 風を着替えて
9,借金2000万円を抱えた僕にドSの宇宙さんが教えてくれた超うまくいく口ぐせ
10,ファミコン通信創刊号
11,フェラーリはクラウンよりも安かった!  3億円つかってわかった資産のつくり方
12,言ってはいけない 残酷すぎる真実 (新潮新書)
13,オーバーロード11 山小人の工匠
14,ペルソナ5 公式コンプリートガイド
15,ウシジマくんvs.ホリエモン 人生はカネじゃない!
16,やり抜く力――人生のあらゆる成功を決める「究極の能力」を身につける
17,TOEICテスト公式問題集 新形式問題対応編
18,これが世界と日本経済の真実だ
19,流鶯: 吉原裏同心(二十五) (光文社文庫 さ)
20,嫌われる勇気―――自己啓発の源流「アドラー」の教え
